"","f1","f2","f3","f4","f5","f6","f7","Course","Intervention","Gender_group","Raceethnicity_group","Education_group"
"544",0.357142857142857,0.0666666666666667,-0.25,0,0.6,-0.333333333333333,0.166666666666667,"PHY105M","Collaborative Comparison","Man","SND","1stGen"
"545",0.357142857142857,-0.466666666666667,-0.75,0.0833333333333333,0.8,0.5,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"546",0.428571428571429,-0.333333333333333,-1,-0.0833333333333333,0.8,0.5,0.833333333333333,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"547",0.214285714285714,-0.466666666666667,-0.5,0.166666666666667,0.5,-0.166666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SND","1stGen"
"548",0.214285714285714,-0.333333333333333,-0.75,0.25,0.5,0.166666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"549",0.214285714285714,0.6,-0.25,0.166666666666667,0.3,0.333333333333333,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"550",0.285714285714286,-0.466666666666667,-1,0.333333333333333,0.8,0,0.5,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"551",0.214285714285714,0.333333333333333,-0.25,0.0833333333333333,0.4,0.166666666666667,1,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"552",-0.0714285714285714,-0.466666666666667,-0.75,0.333333333333333,0.2,0,1,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"553",0.285714285714286,0.0666666666666667,-0.5,0.0833333333333333,0,0.166666666666667,0.5,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"554",0,-0.333333333333333,-0.5,0,0.4,-0.166666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"555",0.214285714285714,-0.333333333333333,-1,-0.416666666666667,0.2,-0.333333333333333,0,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"556",0.214285714285714,-0.2,-1,-0.0833333333333333,0.7,0.333333333333333,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"557",0.285714285714286,-0.2,-0.5,0.25,0.3,0.333333333333333,0.5,"PHY105M","Collaborative Comparison","Woman","SND","Not1stGen"
"558",0.428571428571429,-0.0666666666666667,0,0.0833333333333333,0.7,0.166666666666667,0.666666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"559",0.0714285714285714,-0.0666666666666667,-0.75,-0.0833333333333333,0.2,0.166666666666667,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"560",0.285714285714286,-0.333333333333333,-1,0,0.6,0.333333333333333,1,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"561",0.285714285714286,-0.2,-0.5,0,0.7,0.5,1,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"562",0.285714285714286,-0.333333333333333,-0.5,0,0.4,0.166666666666667,1,"PHY105M","Collaborative Comparison","Woman","Mixed","1stGen"
"563",0.142857142857143,0.0666666666666667,0,0.0833333333333333,0,0,0,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"564",0.142857142857143,-0.333333333333333,-0.5,0,0.6,0.333333333333333,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","SD","1stGen"
"565",-0.142857142857143,-0.0666666666666667,0,0.0833333333333333,0,-0.333333333333333,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"566",0.142857142857143,0.2,0,0.0833333333333333,0,-0.166666666666667,0,"PHY105M","Collaborative Comparison","Woman","SND","1stGen"
"567",0.285714285714286,-0.0666666666666667,-0.75,-0.166666666666667,0.5,0.333333333333333,0.666666666666667,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"568",0.0714285714285714,-0.0666666666666667,0.25,0.0833333333333333,-0.1,0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Man","Mixed","Not1stGen"
"569",0.142857142857143,-0.0666666666666667,-0.25,0.166666666666667,0.2,-0.166666666666667,0.166666666666667,"PHY105M","Collaborative Comparison","Woman","SD","Not1stGen"
"570",0,-0.2,-1,0.25,0.3,0.333333333333333,0.666666666666667,"PHY105M","Collaborative Comparison","Man","SD","Not1stGen"
"571",-0.0714285714285714,-0.0666666666666667,0,0,0.1,0,0.333333333333333,"PHY105M","Collaborative Comparison","Woman","SND","1stGen"
"572",0.357142857142857,-0.2,-0.5,0,0.3,0.166666666666667,0.166666666666667,"PHY105N","Control","Woman","SD","Not1stGen"
"573",0.357142857142857,-0.2,-0.5,0.0833333333333333,0.3,0.333333333333333,0.5,"PHY105N","Control","Woman","SD","Not1stGen"
"574",-0.0714285714285714,-0.2,0.25,0.166666666666667,0.3,0,0.333333333333333,"PHY105N","Control","Other","SND","1stGen"
"575",-0.214285714285714,-0.0666666666666667,0.5,0,0,0.333333333333333,0.5,"PHY105N","Control","Woman","SD","Not1stGen"
"576",0,0.2,0,0,0,0,0,"PHY105N","Control","Man","SD","Not1stGen"
